,,,
,Kelompok,Link GAS,Link Deploy
,1 kelompok 1,https://script.google.com/macros/s/AKfycbwRWRN2Nn3vvDzWNO8IYinc449oZcnyCCC3NJmzqTX0gSnOyFpEzo4Giap3nYEwg39M4g/exec,https://nauvaljanuarta.github.io/presence/GAS%20Presence%20App/
,,,
,,,
,,,
,,,
,6. kelompok 6,https://script.google.com/macros/s/AKfycbxi9U-Fy-KBNtDDMZkpGCmAPNEpApeJh8q2kHLadbEi313CpOOPWpKHE35cwCJ-UBcS/exec,
