,,,
,Kelompok,Link GAS,Link Deploy
,Kelompok 1,https://script.google.com/macros/s/AKfycbzXQyqvnr1igO1MDW3E1_9t4w_HMb0BSJ54I-ukFHo1QNo8XCl63NncIQ3OLrD7aLdA/exec,
,g,,
,,,
,Kelompok 4,,cck4.vercel.app
,Kelompok 5,,
,,,
,Kelompok 7,https://script.google.com/macros/s/AKfycbzwEOB4ji8PBSv7tIX4xz1Dhbn6xK93P-fY2Hw6QusCcN3QgA51HOuRx9umvuXQFl42/exec,https://sutantiyarp.github.io/tugas/
